location,summer_inten_max,predicted_change,lower_bound,upper_bound
Jurien,1.813985132,1.743195337,-0.720605084,4.534518753
Jurien,1.818553033,1.710651902,-0.744521322,4.50601584
Jurien,1.823120934,1.678108467,-0.772168226,4.477512927
Jurien,1.827688836,1.645565031,-0.800381754,4.449010014
Jurien,1.832256737,1.613021596,-0.833537217,4.4205071
Jurien,1.836824639,1.580478161,-0.872527287,4.391819176
Jurien,1.84139254,1.547934725,-0.920029953,4.36284217
Jurien,1.845960441,1.51539129,-0.990317235,4.318786032
Jurien,1.850528343,1.482847855,-1.019432153,4.273571401
Jurien,1.855096244,1.45030442,-1.046741553,4.22835677
Jurien,1.859664146,1.417760984,-1.085348426,4.182525545
Jurien,1.864232047,1.385217549,-1.127766296,4.136531699
Jurien,1.868799948,1.352674114,-1.155733649,4.090537854
Jurien,1.87336785,1.320130679,-1.194528972,4.044544008
Jurien,1.877935751,1.287587243,-1.222426481,3.99940772
Jurien,1.882503653,1.255043808,-1.255489558,3.954304252
Jurien,1.887071554,1.222500373,-1.294138465,3.909200784
Jurien,1.891639456,1.189956937,-1.332787372,3.865325558
Jurien,1.896207357,1.157413502,-1.378667318,3.834046732
Jurien,1.900775258,1.124870067,-1.41774228,3.802309394
Jurien,1.90534316,1.092326632,-1.456519006,3.770559739
Jurien,1.909911061,1.059783196,-1.495295732,3.738810085
Jurien,1.914478963,1.027239761,-1.527131511,3.707060431
Jurien,1.919046864,0.994696326,-1.55892174,3.67517489
Jurien,1.923614765,0.962152891,-1.589542828,3.643233961
Jurien,1.928182667,0.929609455,-1.619853588,3.602400575
Jurien,1.932750568,0.89706602,-1.650077845,3.552288992
Jurien,1.93731847,0.864522585,-1.680730934,3.501892986
Jurien,1.941886371,0.831979149,-1.711135444,3.451496981
Jurien,1.946454272,0.799435714,-1.742839822,3.420040106
Jurien,1.951022174,0.766892279,-1.776816365,3.389199982
Jurien,1.955590075,0.734348844,-1.804633109,3.358359858
Jurien,1.960157977,0.701805408,-1.838530993,3.325546134
Jurien,1.964725878,0.669261973,-1.893154152,3.297210308
Jurien,1.96929378,0.636718538,-1.947325037,3.266822322
Jurien,1.973861681,0.604175103,-1.994957136,3.236434336
Jurien,1.978429582,0.571631667,-2.020660639,3.20604635
Jurien,1.982997484,0.539088232,-2.069149015,3.175658363
Jurien,1.987565385,0.506544797,-2.12574188,3.145270377
Jurien,1.992133287,0.474001361,-2.182334746,3.114882391
Jurien,1.996701188,0.441457926,-2.221712234,3.084494405
Jurien,2.001269089,0.408914491,-2.268070657,3.054106419
Jurien,2.005836991,0.376371056,-2.299010049,3.023710309
Jurien,2.010404892,0.34382762,-2.337658956,2.993157023
Jurien,2.014972794,0.311284185,-2.376307863,2.962603736
Jurien,2.019540695,0.27874075,-2.42061716,2.93205045
Jurien,2.024108597,0.246197315,-2.453605677,2.904473105
Jurien,2.028676498,0.213653879,-2.492254584,2.878013326
Jurien,2.033244399,0.181110444,-2.530903491,2.851405475
Jurien,2.037812301,0.148567009,-2.569552398,2.824751374
Jurien,2.042380202,0.116023573,-2.608034845,2.798097273
Jurien,2.046948104,0.083480138,-2.646510194,2.764436635
Jurien,2.051516005,0.050936703,-2.683559633,2.725129482
Jurien,2.056083906,0.018393268,-2.715775816,2.68653526
Jurien,2.060651808,-0.014150168,-2.747992,2.65602221
Jurien,2.065219709,-0.046693603,-2.780208184,2.625667299
Jurien,2.069787611,-0.079237038,-2.812424367,2.589538015
Jurien,2.074355512,-0.111780473,-2.861187282,2.549458669
Jurien,2.078923413,-0.144323909,-2.916780038,2.518527422
Jurien,2.083491315,-0.176867344,-2.955936058,2.491696643
Jurien,2.088059216,-0.209410779,-2.994690376,2.464978983
Jurien,2.092627118,-0.241954215,-3.033339283,2.438261323
Jurien,2.097195019,-0.27449765,-3.07198819,2.411543663
Jurien,2.101762921,-0.307041085,-3.111369236,2.381315752
Jurien,2.106330822,-0.33958452,-3.160380037,2.350883538
Jurien,2.110898723,-0.372127956,-3.209390837,2.320451324
Jurien,2.115466625,-0.404671391,-3.250194325,2.29001911
Jurien,2.120034526,-0.437214826,-3.289444969,2.259586897
Jurien,2.124602428,-0.469758261,-3.328695613,2.229154683
Jurien,2.129170329,-0.502301697,-3.367891743,2.202475966
Jurien,2.13373823,-0.534845132,-3.406881813,2.176361035
Jurien,2.138306132,-0.567388567,-3.445871883,2.150197
Jurien,2.142874033,-0.599932003,-3.484861952,2.124032965
Jurien,2.147441935,-0.632475438,-3.523626136,2.09786893
Jurien,2.152009836,-0.665018873,-3.562382025,2.069896606
Jurien,2.156577737,-0.697562308,-3.601137914,2.038569655
Jurien,2.161145639,-0.730105744,-3.639038173,2.007242705
Jurien,2.16571354,-0.762649179,-3.66875354,1.975915754
Jurien,2.170281442,-0.795192614,-3.704894121,1.944588803
Jurien,2.174849343,-0.827736049,-3.756980479,1.913261853
Jurien,2.179417245,-0.860279485,-3.796390626,1.881934902
Jurien,2.183985146,-0.89282292,-3.835772579,1.850607952
Jurien,2.188553047,-0.925366355,-3.87915495,1.8189854
Jurien,2.193120949,-0.957909791,-3.928031601,1.787336308
Jurien,2.19768885,-0.990453226,-3.976908251,1.755687216
Jurien,2.202256752,-1.022996661,-4.025755578,1.729389413
Jurien,2.206824653,-1.055540096,-4.064857482,1.69631
Jurien,2.211392554,-1.088083532,-4.103914858,1.661407161
Jurien,2.215960456,-1.120626967,-4.142729559,1.630163119
Jurien,2.220528357,-1.153170402,-4.18154426,1.598919076
Jurien,2.225096259,-1.185713837,-4.220618196,1.570990427
Jurien,2.22966416,-1.218257273,-4.269890749,1.543186434
Jurien,2.234232061,-1.250800708,-4.310723335,1.515382442
Jurien,2.238799963,-1.283344143,-4.348667235,1.487578449
Jurien,2.243367864,-1.315887579,-4.386611135,1.459774457
Jurien,2.247935766,-1.348431014,-4.427862891,1.431802695
Jurien,2.252503667,-1.380974449,-4.471683676,1.403723866
Jurien,2.257071569,-1.413517884,-4.51550446,1.375645036
Jurien,2.26163947,-1.44606132,-4.559325245,1.347566207
Jurien,2.266207371,-1.478604755,-4.60314603,1.319487378
Jurien,2.270775273,-1.51114819,-4.646966815,1.291408549
Jurien,2.275343174,-1.543691625,-4.6907876,1.26332972
Jurien,2.279911076,-1.576235061,-4.745727662,1.235250891
Jurien,2.284478977,-1.608778496,-4.801248023,1.207150553
Jurien,2.289046878,-1.641321931,-4.856768384,1.178923531
Jurien,2.29361478,-1.673865367,-4.912288746,1.149404857
Jurien,2.298182681,-1.706408802,-4.969256874,1.122918741
Jurien,2.302750583,-1.738952237,-5.027614909,1.084921105
Jurien,2.307318484,-1.771495672,-5.085972945,1.046816506
Jurien,2.311886386,-1.804039108,-5.14433098,1.023646193
Jurien,2.316454287,-1.836582543,-5.202689016,0.990311742
Jurien,2.321022188,-1.869125978,-5.261047052,0.956809331
Jurien,2.32559009,-1.901669413,-5.3110196,0.923248283
Jurien,2.330157991,-1.934212849,-5.360815593,0.897712833
Jurien,2.334725893,-1.966756284,-5.4126433,0.879520696
Jurien,2.339293794,-1.999299719,-5.468388978,0.86132856
Jurien,2.343861695,-2.031843155,-5.524009076,0.843136423
Jurien,2.348429597,-2.06438659,-5.579518518,0.811406898
Jurien,2.352997498,-2.096930025,-5.635027959,0.77791909
Jurien,2.3575654,-2.12947346,-5.6905374,0.744390367
Jurien,2.362133301,-2.162016896,-5.745486237,0.710695008
Jurien,2.366701202,-2.194560331,-5.794783593,0.676999649
Jurien,2.371269104,-2.227103766,-5.844080949,0.643304289
Jurien,2.375837005,-2.259647202,-5.893378306,0.60960893
Jurien,2.380404907,-2.292190637,-5.942648588,0.57703683
Jurien,2.384972808,-2.324734072,-5.991624904,0.542586293
Jurien,2.38954071,-2.357277507,-6.04060122,0.509144415
Jurien,2.394108611,-2.389820943,-6.089577536,0.475702537
Jurien,2.398676512,-2.422364378,-6.138553853,0.442260659
Jurien,2.403244414,-2.454907813,-6.181973127,0.408818781
Jurien,2.407812315,-2.487451248,-6.22496201,0.378255087
Jurien,2.412380217,-2.519994684,-6.267950893,0.354416654
Jurien,2.416948118,-2.552538119,-6.310939777,0.330578221
Jurien,2.421516019,-2.585081554,-6.35392866,0.306739788
Jurien,2.426083921,-2.61762499,-6.402153604,0.278074632
Jurien,2.430651822,-2.650168425,-6.45171336,0.243572436
Jurien,2.435219724,-2.68271186,-6.501273116,0.20907024
Jurien,2.439787625,-2.715255295,-6.550832872,0.174568044
Jurien,2.444355526,-2.747798731,-6.600392628,0.140065848
Jurien,2.448923428,-2.780342166,-6.649952385,0.105563652
Jurien,2.453491329,-2.812885601,-6.699512141,0.071061456
Jurien,2.458059231,-2.845429036,-6.749071897,0.03655926
Jurien,2.462627132,-2.877972472,-6.798631653,0.002057064
Jurien,2.467195034,-2.910515907,-6.848191409,-0.032445132
Jurien,2.471762935,-2.943059342,-6.897751166,-0.066947328
Jurien,2.476330836,-2.975602778,-6.947310922,-0.091708232
Jurien,2.480898738,-3.008146213,-6.996870678,-0.11444934
Jurien,2.485466639,-3.040689648,-7.046430434,-0.137382308
Jurien,2.490034541,-3.073233083,-7.09599019,-0.1603665
Jurien,2.494602442,-3.105776519,-7.146498527,-0.183350693
Jurien,2.499170343,-3.138319954,-7.199733513,-0.206334885
Jurien,2.503738245,-3.170863389,-7.245726438,-0.229319078
Jurien,2.508306146,-3.203406824,-7.306888454,-0.25230327
Jurien,2.512874048,-3.23595026,-7.360619345,-0.275287463
Jurien,2.517441949,-3.268493695,-7.414121498,-0.298271655
Jurien,2.522009851,-3.30103713,-7.465220535,-0.321255847
Jurien,2.526577752,-3.333580566,-7.514466423,-0.34424004
Jurien,2.531145653,-3.366124001,-7.572231207,-0.367224232
Jurien,2.535713555,-3.398667436,-7.628589163,-0.396816918
Jurien,2.540281456,-3.431210871,-7.678652763,-0.429834098
Jurien,2.544849358,-3.463754307,-7.715029839,-0.462851278
Jurien,2.549417259,-3.496297742,-7.760695859,-0.495868458
Jurien,2.55398516,-3.528841177,-7.809941747,-0.528885638
Jurien,2.558553062,-3.561384612,-7.8662577,-0.561902817
Jurien,2.563120963,-3.593928048,-7.925055888,-0.594919997
Jurien,2.567688865,-3.626471483,-7.983854075,-0.627937177
Jurien,2.572256766,-3.659014918,-8.042602672,-0.660954357
Jurien,2.576824667,-3.691558354,-8.10120501,-0.693971537
Jurien,2.581392569,-3.724101789,-8.154255137,-0.726988717
Jurien,2.58596047,-3.756645224,-8.215407574,-0.760005896
Jurien,2.590528372,-3.789188659,-8.256426894,-0.793079175
Jurien,2.595096273,-3.821732095,-8.297446167,-0.823589605
Jurien,2.599664175,-3.85427553,-8.338465441,-0.849977437
Jurien,2.604232076,-3.886818965,-8.390126553,-0.87636527
Jurien,2.608799977,-3.9193624,-8.448938106,-0.902753102
Jurien,2.613367879,-3.951905836,-8.507471392,-0.929140934
Jurien,2.61793578,-3.984449271,-8.565896166,-0.955528766
Jurien,2.622503682,-4.016992706,-8.605617491,-0.981916599
Jurien,2.627071583,-4.049536142,-8.64393876,-1.008304431
Jurien,2.631639484,-4.082079577,-8.682204439,-1.034692263
Jurien,2.636207386,-4.114623012,-8.720470119,-1.061080095
Jurien,2.640775287,-4.147166447,-8.758735798,-1.087525716
Jurien,2.645343189,-4.179709883,-8.797001478,-1.114004153
Jurien,2.64991109,-4.212253318,-8.842016992,-1.140482591
Jurien,2.654478991,-4.244796753,-8.890998821,-1.166961028
Jurien,2.659046893,-4.277340188,-8.939980651,-1.193439465
Jurien,2.663614794,-4.309883624,-8.98896248,-1.219917902
Jurien,2.668182696,-4.342427059,-9.03794431,-1.246396339
Jurien,2.672750597,-4.374970494,-9.08692614,-1.272874776
Jurien,2.677318499,-4.40751393,-9.135907969,-1.299353213
Jurien,2.6818864,-4.440057365,-9.184889799,-1.32583165
Jurien,2.686454301,-4.4726008,-9.229867993,-1.352310087
Jurien,2.691022203,-4.505144235,-9.276619463,-1.378788524
Jurien,2.695590104,-4.537687671,-9.326179219,-1.405266961
Jurien,2.700158006,-4.570231106,-9.375738975,-1.431745398
Jurien,2.704725907,-4.602774541,-9.425298732,-1.458223835
Jurien,2.709293808,-4.635317976,-9.474858488,-1.484702272
Jurien,2.71386171,-4.667861412,-9.524418244,-1.51118071
Jurien,2.718429611,-4.700404847,-9.573978,-1.537659147
Jurien,2.722997513,-4.732948282,-9.623537756,-1.564137584
Jurien,2.727565414,-4.765491718,-9.673097513,-1.590616021
Jurien,2.732133315,-4.798035153,-9.722657269,-1.617094458
Jurien,2.736701217,-4.830578588,-9.772217025,-1.643572895
Jurien,2.741269118,-4.863122023,-9.823590488,-1.670051332
Jurien,2.74583702,-4.895665459,-9.872871726,-1.700265175
Jurien,2.750404921,-4.928208894,-9.922152965,-1.731693663
Jurien,2.754972823,-4.960752329,-9.971434203,-1.759488117
Jurien,2.759540724,-4.993295764,-10.02071544,-1.785644809
Jurien,2.764108625,-5.0258392,-10.07031929,-1.8118015
Jurien,2.768676527,-5.058382635,-10.1200264,-1.837958192
Jurien,2.773244428,-5.09092607,-10.16973352,-1.864114883
Jurien,2.77781233,-5.123469506,-10.21944063,-1.890271575
Jurien,2.782380231,-5.156012941,-10.26914775,-1.916428267
Jurien,2.786948132,-5.188556376,-10.31885486,-1.942584958
Jurien,2.791516034,-5.221099811,-10.36856197,-1.96874165
Jurien,2.796083935,-5.253643247,-10.41826909,-1.994898342
Jurien,2.800651837,-5.286186682,-10.4679762,-2.021055033
Jurien,2.805219738,-5.318730117,-10.51768332,-2.044593478
Jurien,2.80978764,-5.351273552,-10.56739043,-2.071330194
Jurien,2.814355541,-5.383816988,-10.61709755,-2.097077604
Jurien,2.818923442,-5.416360423,-10.66680466,-2.117988795
Jurien,2.823491344,-5.448903858,-10.71651177,-2.144184466
Jurien,2.828059245,-5.481447294,-10.76606563,-2.170380138
Jurien,2.832627147,-5.513990729,-10.81548319,-2.196575809
Jurien,2.837195048,-5.546534164,-10.86490076,-2.222771481
Jurien,2.841762949,-5.579077599,-10.91431832,-2.248967152
Jurien,2.846330851,-5.611621035,-10.96373588,-2.275162824
Jurien,2.850898752,-5.64416447,-11.01315344,-2.295087132
Jurien,2.855466654,-5.676707905,-11.062571,-2.310927993
Jurien,2.860034555,-5.70925134,-11.11198856,-2.326819137
Jurien,2.864602456,-5.741794776,-11.16140613,-2.342710281
Jurien,2.869170358,-5.774338211,-11.21082369,-2.368663841
Jurien,2.873738259,-5.806881646,-11.26024125,-2.396289596
Jurien,2.878306161,-5.839425082,-11.30965881,-2.42391535
Jurien,2.882874062,-5.871968517,-11.35907637,-2.451541105
Jurien,2.887441964,-5.904511952,-11.40849394,-2.47917988
Jurien,2.892009865,-5.937055387,-11.4579115,-2.506922279
Jurien,2.896577766,-5.969598823,-11.50732906,-2.534664679
Jurien,2.901145668,-6.002142258,-11.55674662,-2.562407078
Jurien,2.905713569,-6.034685693,-11.60196101,-2.590149478
Jurien,2.910281471,-6.067229128,-11.64556023,-2.617891877
Jurien,2.914849372,-6.099772564,-11.69103963,-2.645634277
Jurien,2.919417273,-6.132315999,-11.74018443,-2.669901335
Jurien,2.923985175,-6.164859434,-11.78932923,-2.688325995
Jurien,2.928553076,-6.19740287,-11.83847403,-2.706750655
Jurien,2.933120978,-6.229946305,-11.88761883,-2.725175315
Jurien,2.937688879,-6.26248974,-11.93676363,-2.743829157
Jurien,2.94225678,-6.295033175,-11.98590843,-2.762553823
Jurien,2.946824682,-6.327576611,-12.03505323,-2.781278489
Jurien,2.951392583,-6.360120046,-12.08419803,-2.800003154
Jurien,2.955960485,-6.392663481,-12.13334283,-2.81872782
Jurien,2.960528386,-6.425206916,-12.18239048,-2.837452486
Jurien,2.965096288,-6.457750352,-12.23142685,-2.856177152
Jurien,2.969664189,-6.490293787,-12.28046321,-2.878721507
Jurien,2.97423209,-6.522837222,-12.32949957,-2.910623109
Jurien,2.978799992,-6.555380658,-12.37817894,-2.941600767
Jurien,2.983367893,-6.587924093,-12.42350963,-2.959098489
Jurien,2.987935795,-6.620467528,-12.46884033,-2.976596212
Jurien,2.992503696,-6.653010963,-12.51417103,-2.994093934
Jurien,2.997071597,-6.685554399,-12.55950172,-3.011676445
Jurien,3.001639499,-6.718097834,-12.60483242,-3.029459718
Jurien,3.0062074,-6.750641269,-12.65016312,-3.048039164
Jurien,3.010775302,-6.783184704,-12.69549381,-3.077530973
Jurien,3.015343203,-6.81572814,-12.74082451,-3.107022783
Jurien,3.019911104,-6.848271575,-12.78615521,-3.136514592
Jurien,3.024479006,-6.88081501,-12.83148591,-3.166006402
Jurien,3.029046907,-6.913358446,-12.88329569,-3.195498211
Jurien,3.033614809,-6.945901881,-12.93581503,-3.215530967
Jurien,3.03818271,-6.978445316,-12.98833437,-3.234594681
Jurien,3.042750612,-7.010988751,-13.04085371,-3.253699667
Jurien,3.047318513,-7.043532187,-13.09337305,-3.272804654
