location,summer_temp_max,predicted_change,lower_bound,upper_bound
Maria Island,16.3283884,1.81549444,-0.682507471,4.36313658
Maria Island,16.33266888,1.810506719,-0.682896702,4.354141567
Maria Island,16.33694937,1.805518999,-0.683285932,4.345146554
Maria Island,16.34122985,1.800531278,-0.683675163,4.336151542
Maria Island,16.34551034,1.795543557,-0.684064393,4.326620453
Maria Island,16.34979083,1.790555836,-0.684453624,4.316396746
Maria Island,16.35407131,1.785568115,-0.684842854,4.30617304
Maria Island,16.3583518,1.780580394,-0.685232084,4.295949333
Maria Island,16.36263229,1.775592673,-0.685621315,4.285725626
Maria Island,16.36691277,1.770604953,-0.686010545,4.27550192
Maria Island,16.37119326,1.765617232,-0.686399776,4.265278213
Maria Island,16.37547375,1.760629511,-0.686789006,4.255054507
Maria Island,16.37975423,1.75564179,-0.687178237,4.2448308
Maria Island,16.38403472,1.750654069,-0.687567467,4.234607093
Maria Island,16.38831521,1.745666348,-0.687911478,4.224383387
Maria Island,16.39259569,1.740678627,-0.688224865,4.21415968
Maria Island,16.39687618,1.735690907,-0.688538251,4.203935973
Maria Island,16.40115667,1.730703186,-0.688851637,4.193712267
Maria Island,16.40543715,1.725715465,-0.689165023,4.18348856
Maria Island,16.40971764,1.720727744,-0.68947841,4.173264854
Maria Island,16.41399813,1.715740023,-0.689791796,4.163041147
Maria Island,16.41827861,1.710752302,-0.690105182,4.15281744
Maria Island,16.4225591,1.705764581,-0.690418569,4.142593734
Maria Island,16.42683959,1.700776861,-0.690731955,4.132370027
Maria Island,16.43112007,1.69578914,-0.691045341,4.122146321
Maria Island,16.43540056,1.690801419,-0.692613697,4.111922614
Maria Island,16.43968104,1.685813698,-0.694224833,4.101698907
Maria Island,16.44396153,1.680825977,-0.695835968,4.091475201
Maria Island,16.44824202,1.675838256,-0.697447103,4.081185292
Maria Island,16.4525225,1.670850535,-0.694943454,4.070886089
Maria Island,16.45680299,1.665862815,-0.693152013,4.060586887
Maria Island,16.46108348,1.660875094,-0.69358347,4.050287684
Maria Island,16.46536396,1.655887373,-0.694014926,4.039988482
Maria Island,16.46964445,1.650899652,-0.694446383,4.029689279
Maria Island,16.47392494,1.645911931,-0.69487784,4.019390077
Maria Island,16.47820542,1.64092421,-0.695309297,4.009090874
Maria Island,16.48248591,1.635936489,-0.697500054,3.998791672
Maria Island,16.4867664,1.630948769,-0.70032599,3.988492469
Maria Island,16.49104688,1.625961048,-0.703151927,3.978193267
Maria Island,16.49532737,1.620973327,-0.705960758,3.967894064
Maria Island,16.49960786,1.615985606,-0.708709809,3.957594862
Maria Island,16.50388834,1.610997885,-0.711458861,3.947295659
Maria Island,16.50816883,1.606010164,-0.711799139,3.936996457
Maria Island,16.51244932,1.601022443,-0.710557933,3.926697254
Maria Island,16.5167298,1.596034723,-0.709316727,3.916398052
Maria Island,16.52101029,1.591047002,-0.708075522,3.905725343
Maria Island,16.52529077,1.586059281,-0.706834316,3.89378599
Maria Island,16.52957126,1.58107156,-0.705550328,3.881846637
Maria Island,16.53385175,1.576083839,-0.70419985,3.869907284
Maria Island,16.53813223,1.571096118,-0.702849372,3.857967931
Maria Island,16.54241272,1.566108397,-0.701498894,3.846028579
Maria Island,16.54669321,1.561120676,-0.701801452,3.834089226
Maria Island,16.55097369,1.556132956,-0.704767263,3.822149873
Maria Island,16.55525418,1.551145235,-0.707857378,3.81021052
Maria Island,16.55953467,1.546157514,-0.710947493,3.798271167
Maria Island,16.56381515,1.541169793,-0.714037608,3.786331814
Maria Island,16.56809564,1.536182072,-0.713280034,3.774392461
Maria Island,16.57237613,1.531194351,-0.711881324,3.762453108
Maria Island,16.57665661,1.52620663,-0.710482614,3.750513755
Maria Island,16.5809371,1.52121891,-0.708961771,3.738574402
Maria Island,16.58521759,1.516231189,-0.707404441,3.728096896
Maria Island,16.58949807,1.511243468,-0.705847111,3.718757018
Maria Island,16.59377856,1.506255747,-0.705866837,3.70941714
Maria Island,16.59805905,1.501268026,-0.70615356,3.700077262
Maria Island,16.60233953,1.496280305,-0.70629074,3.690737384
Maria Island,16.60662002,1.491292584,-0.703392216,3.681397507
Maria Island,16.6109005,1.486304864,-0.706374353,3.672057629
Maria Island,16.61518099,1.481317143,-0.707728986,3.662717751
Maria Island,16.61946148,1.476329422,-0.708193422,3.653273267
Maria Island,16.62374196,1.471341701,-0.708657858,3.643806451
Maria Island,16.62802245,1.46635398,-0.709122295,3.634339635
Maria Island,16.63230294,1.461366259,-0.709586731,3.620158873
Maria Island,16.63658342,1.456378538,-0.709949343,3.604975739
Maria Island,16.64086391,1.451390818,-0.710306117,3.589792606
Maria Island,16.6451444,1.446403097,-0.710662891,3.574609473
Maria Island,16.64942488,1.441415376,-0.711019665,3.566605149
Maria Island,16.65370537,1.436427655,-0.711376439,3.559412354
Maria Island,16.65798586,1.431439934,-0.711733213,3.552219559
Maria Island,16.66226634,1.426452213,-0.712089987,3.545026764
Maria Island,16.66654683,1.421464492,-0.711779152,3.537833969
Maria Island,16.67082732,1.416476772,-0.710535689,3.530641174
Maria Island,16.6751078,1.411489051,-0.709251794,3.523448379
Maria Island,16.67938829,1.40650133,-0.707231812,3.516230282
Maria Island,16.68366878,1.401513609,-0.704967869,3.508197308
Maria Island,16.68794926,1.396525888,-0.702703925,3.49502529
Maria Island,16.69222975,1.391538167,-0.704268458,3.481850458
Maria Island,16.69651023,1.386550446,-0.70691514,3.469744251
Maria Island,16.70079072,1.381562726,-0.713312236,3.461107669
Maria Island,16.70507121,1.376575005,-0.716098248,3.452462089
Maria Island,16.70935169,1.371587284,-0.716583362,3.443816508
Maria Island,16.71363218,1.366599563,-0.717068475,3.435170928
Maria Island,16.71791267,1.361611842,-0.717553589,3.426525347
Maria Island,16.72219315,1.356624121,-0.718038702,3.417879767
Maria Island,16.72647364,1.3516364,-0.718506608,3.409234186
Maria Island,16.73075413,1.34664868,-0.718840083,3.400588606
Maria Island,16.73503461,1.341660959,-0.719173559,3.391943025
Maria Island,16.7393151,1.336673238,-0.719504057,3.383056934
Maria Island,16.74359559,1.331685517,-0.719779982,3.372842187
Maria Island,16.74787607,1.326697796,-0.720055906,3.36262744
Maria Island,16.75215656,1.321710075,-0.716679262,3.352412693
Maria Island,16.75643705,1.316722354,-0.71230944,3.342197946
Maria Island,16.76071753,1.311734634,-0.707889716,3.3319832
Maria Island,16.76499802,1.306746913,-0.703455188,3.321768453
Maria Island,16.76927851,1.301759192,-0.69902066,3.311553706
Maria Island,16.77355899,1.296771471,-0.695751932,3.301338959
Maria Island,16.77783948,1.29178375,-0.696940567,3.291124212
Maria Island,16.78211996,1.286796029,-0.698095661,3.281447835
Maria Island,16.78640045,1.281808308,-0.699229572,3.273158797
Maria Island,16.79068094,1.276820588,-0.69830187,3.264869759
Maria Island,16.79496142,1.271832867,-0.701695108,3.257536891
Maria Island,16.79924191,1.266845146,-0.699604198,3.252479154
Maria Island,16.8035224,1.261857425,-0.697500791,3.247421416
Maria Island,16.80780288,1.256869704,-0.695397383,3.242363678
Maria Island,16.81208337,1.251881983,-0.693293975,3.233791691
Maria Island,16.81636386,1.246894262,-0.691190568,3.224493107
Maria Island,16.82064434,1.241906541,-0.68908716,3.215194523
Maria Island,16.82492483,1.236918821,-0.688013867,3.205895939
Maria Island,16.82920532,1.2319311,-0.691176773,3.196597355
Maria Island,16.8334858,1.226943379,-0.694339678,3.187298771
Maria Island,16.83776629,1.221955658,-0.697502584,3.178000187
Maria Island,16.84204678,1.216967937,-0.70066549,3.168701603
Maria Island,16.84632726,1.211980216,-0.703828396,3.159403019
Maria Island,16.85060775,1.206992495,-0.706991302,3.150104435
Maria Island,16.85488824,1.202004775,-0.710154207,3.140805851
Maria Island,16.85916872,1.197017054,-0.713317113,3.132245145
Maria Island,16.86344921,1.192029333,-0.716480019,3.123956107
Maria Island,16.86772969,1.187041612,-0.719642925,3.115667069
Maria Island,16.87201018,1.182053891,-0.72280583,3.10737803
Maria Island,16.87629067,1.17706617,-0.725925993,3.099088992
Maria Island,16.88057115,1.172078449,-0.727249662,3.090737216
Maria Island,16.88485164,1.167090729,-0.728573331,3.081597067
Maria Island,16.88913213,1.162103008,-0.729836149,3.066498138
Maria Island,16.89341261,1.157115287,-0.731089489,3.056923296
Maria Island,16.8976931,1.152127566,-0.73234283,3.047632795
Maria Island,16.90197359,1.147139845,-0.733596171,3.038342295
Maria Island,16.90625407,1.142152124,-0.734764702,3.029051794
Maria Island,16.91053456,1.137164403,-0.735184811,3.019761293
Maria Island,16.91481505,1.132176683,-0.735604919,3.010470792
Maria Island,16.91909553,1.127188962,-0.736025027,3.001180291
Maria Island,16.92337602,1.122201241,-0.736445135,2.991889791
Maria Island,16.92765651,1.11721352,-0.736865244,2.983144045
Maria Island,16.93193699,1.112225799,-0.737285352,2.975042009
Maria Island,16.93621748,1.107238078,-0.73770546,2.966939973
Maria Island,16.94049797,1.102250357,-0.738125568,2.958837938
Maria Island,16.94477845,1.097262637,-0.738545677,2.950735902
Maria Island,16.94905894,1.092274916,-0.738945888,2.942633866
Maria Island,16.95333942,1.087287195,-0.741974511,2.93453183
Maria Island,16.95761991,1.082299474,-0.745748924,2.926429794
Maria Island,16.9619004,1.077311753,-0.746995522,2.918327759
Maria Island,16.96618088,1.072324032,-0.747071145,2.910225723
Maria Island,16.97046137,1.067336311,-0.747300907,2.902123687
Maria Island,16.97474186,1.062348591,-0.748426108,2.894021651
Maria Island,16.97902234,1.05736087,-0.74727068,2.885919616
Maria Island,16.98330283,1.052373149,-0.747271446,2.87781758
Maria Island,16.98758332,1.047385428,-0.747265549,2.869715544
Maria Island,16.9918638,1.042397707,-0.74751634,2.861613508
Maria Island,16.99614429,1.037409986,-0.747512507,2.853511472
Maria Island,17.00042478,1.032422265,-0.7475348,2.845402652
Maria Island,17.00470526,1.027434545,-0.747693863,2.837256151
Maria Island,17.00898575,1.022446824,-0.747822902,2.82908925
Maria Island,17.01326624,1.017459103,-0.747893935,2.820922349
Maria Island,17.01754672,1.012471382,-0.747964969,2.812743049
Maria Island,17.02182721,1.007483661,-0.748036003,2.802896278
Maria Island,17.0261077,1.00249594,-0.748107036,2.794047109
Maria Island,17.03038818,0.997508219,-0.74817807,2.783260786
Maria Island,17.03466867,0.992520499,-0.749264346,2.772454681
Maria Island,17.03894915,0.987532778,-0.754521925,2.761648576
Maria Island,17.04322964,0.982545057,-0.759779504,2.750842472
Maria Island,17.04751013,0.977557336,-0.765037082,2.740036367
Maria Island,17.05179061,0.972569615,-0.770294661,2.729230262
Maria Island,17.0560711,0.967581894,-0.775552239,2.718424158
Maria Island,17.06035159,0.962594173,-0.780762628,2.707618053
Maria Island,17.06463207,0.957606453,-0.782140006,2.696811948
Maria Island,17.06891256,0.952618732,-0.783517385,2.686005844
Maria Island,17.07319305,0.947631011,-0.787418485,2.67568597
Maria Island,17.07747353,0.94264329,-0.792015728,2.667886038
Maria Island,17.08175402,0.937655569,-0.79661297,2.660086107
Maria Island,17.08603451,0.932667848,-0.801210213,2.652286175
Maria Island,17.09031499,0.927680127,-0.805807456,2.644486244
Maria Island,17.09459548,0.922692406,-0.810404698,2.636686312
Maria Island,17.09887597,0.917704686,-0.815001941,2.62888638
Maria Island,17.10315645,0.912716965,-0.819599184,2.621086449
Maria Island,17.10743694,0.907729244,-0.824196426,2.613286517
Maria Island,17.11171743,0.902741523,-0.828793669,2.605486586
Maria Island,17.11599791,0.897753802,-0.833390911,2.597678888
Maria Island,17.1202784,0.892766081,-0.837988154,2.589866285
Maria Island,17.12455889,0.88777836,-0.842585397,2.582053682
Maria Island,17.12883937,0.88279064,-0.847182639,2.57424108
Maria Island,17.13311986,0.877802919,-0.851779882,2.566428477
Maria Island,17.13740034,0.872815198,-0.856377125,2.558615875
Maria Island,17.14168083,0.867827477,-0.860974367,2.550803272
Maria Island,17.14596132,0.862839756,-0.865485797,2.54299067
Maria Island,17.1502418,0.857852035,-0.869917467,2.535178067
Maria Island,17.15452229,0.852864314,-0.874349137,2.527365464
Maria Island,17.15880278,0.847876594,-0.878780807,2.519552862
Maria Island,17.16308326,0.842888873,-0.879614167,2.511740259
Maria Island,17.16736375,0.837901152,-0.878496978,2.503881218
Maria Island,17.17164424,0.832913431,-0.877284101,2.496014836
Maria Island,17.17592472,0.82792571,-0.876022246,2.488148453
Maria Island,17.18020521,0.822937989,-0.87476039,2.48028207
Maria Island,17.1844857,0.817950268,-0.877831495,2.472415687
Maria Island,17.18876618,0.812962548,-0.882519601,2.464549304
Maria Island,17.19304667,0.807974827,-0.882708849,2.456489681
Maria Island,17.19732716,0.802987106,-0.887007683,2.44630083
Maria Island,17.20160764,0.797999385,-0.89085926,2.43893629
Maria Island,17.20588813,0.793011664,-0.890374597,2.43157175
Maria Island,17.21016862,0.788023943,-0.889889933,2.42420721
Maria Island,17.2144491,0.783036222,-0.88940527,2.41684267
Maria Island,17.21872959,0.778048502,-0.888920607,2.40947813
Maria Island,17.22301007,0.773060781,-0.888435944,2.40211359
Maria Island,17.22729056,0.76807306,-0.887951281,2.394359826
Maria Island,17.23157105,0.763085339,-0.887466618,2.386578491
Maria Island,17.23585153,0.758097618,-0.886981955,2.378797156
Maria Island,17.24013202,0.753109897,-0.886497292,2.371015821
Maria Island,17.24441251,0.748122176,-0.886012629,2.363234487
Maria Island,17.24869299,0.743134456,-0.885527966,2.357113718
Maria Island,17.25297348,0.738146735,-0.885043303,2.35084226
Maria Island,17.25725397,0.733159014,-0.88455864,2.343420137
Maria Island,17.26153445,0.728171293,-0.884073977,2.336145741
Maria Island,17.26581494,0.723183572,-0.884946235,2.328871345
Maria Island,17.27009543,0.718195851,-0.892085887,2.321566214
Maria Island,17.27437591,0.71320813,-0.89922554,2.314194045
Maria Island,17.2786564,0.70822041,-0.906365192,2.306821877
Maria Island,17.28293689,0.703232689,-0.913504845,2.300142484
Maria Island,17.28721737,0.698244968,-0.920644497,2.295430392
Maria Island,17.29149786,0.693257247,-0.927784149,2.290718301
Maria Island,17.29577835,0.688269526,-0.934923802,2.28600575
Maria Island,17.30005883,0.683281805,-0.942063454,2.2761321
Maria Island,17.30433932,0.678294084,-0.949203107,2.265918435
Maria Island,17.3086198,0.673306364,-0.956342759,2.25570477
Maria Island,17.31290029,0.668318643,-0.963482411,2.247520076
Maria Island,17.31718078,0.663330922,-0.970622064,2.240408491
Maria Island,17.32146126,0.658343201,-0.977761716,2.23309725
Maria Island,17.32574175,0.65335548,-0.984823345,2.225720494
Maria Island,17.33002224,0.648367759,-0.991849144,2.218343737
Maria Island,17.33430272,0.643380038,-0.998874943,2.210966981
Maria Island,17.33858321,0.638392318,-1.005900742,2.203590225
Maria Island,17.3428637,0.633404597,-1.012926541,2.196213469
Maria Island,17.34714418,0.628416876,-1.01995234,2.187978881
Maria Island,17.35142467,0.623429155,-1.026978139,2.179710407
Maria Island,17.35570516,0.618441434,-1.033975986,2.17143404
Maria Island,17.35998564,0.613453713,-1.034721231,2.163157672
Maria Island,17.36426613,0.608465992,-1.033113802,2.154881305
Maria Island,17.36854662,0.603478271,-1.031506373,2.146870184
Maria Island,17.3728271,0.598490551,-1.029898945,2.140592586
Maria Island,17.37710759,0.59350283,-1.028291516,2.132544011
Maria Island,17.38138808,0.588515109,-1.026684087,2.124495437
Maria Island,17.38566856,0.583527388,-1.025076658,2.116446862
Maria Island,17.38994905,0.578539667,-1.02346923,2.108378601
Maria Island,17.39422953,0.573551946,-1.021861801,2.100299749
Maria Island,17.39851002,0.568564225,-1.020254372,2.092220898
Maria Island,17.40279051,0.563576505,-1.018646943,2.085059753
Maria Island,17.40707099,0.558588784,-1.022401765,2.081320866
Maria Island,17.41135148,0.553601063,-1.02981399,2.077581979
Maria Island,17.41563197,0.548613342,-1.037226215,2.071269857
Maria Island,17.41991245,0.543625621,-1.044327873,2.06597436
Maria Island,17.42419294,0.5386379,-1.044966193,2.061543549
Maria Island,17.42847343,0.533650179,-1.045604513,2.057028756
Maria Island,17.43275391,0.528662459,-1.046242833,2.050696793
Maria Island,17.4370344,0.523674738,-1.046784534,2.041846908
Maria Island,17.44131489,0.518687017,-1.047257759,2.032966806
Maria Island,17.44559537,0.513699296,-1.047730984,2.024074631
Maria Island,17.44987586,0.508711575,-1.04820421,2.015182457
Maria Island,17.45415635,0.503723854,-1.050383573,2.006290283
Maria Island,17.45843683,0.498736133,-1.055001826,1.998170538
Maria Island,17.46271732,0.493748413,-1.05962008,1.990847243
