location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,60.82712805,-1.619881621,-5.287160736,1.228010334
Jurien,61.04206146,-1.650192114,-5.342551783,1.205524314
Jurien,61.25699486,-1.680502608,-5.401556045,1.182864903
Jurien,61.47192827,-1.710813101,-5.4432918,1.160205491
Jurien,61.68686167,-1.741123595,-5.482075759,1.137546079
Jurien,61.90179508,-1.771434089,-5.520859718,1.107379362
Jurien,62.11672848,-1.801744582,-5.559643677,1.076358909
Jurien,62.33166188,-1.832055076,-5.596609403,1.045338456
Jurien,62.54659529,-1.86236557,-5.632334035,1.014318004
Jurien,62.76152869,-1.892676063,-5.668058668,0.983142575
Jurien,62.9764621,-1.922986557,-5.7037833,0.951933841
Jurien,63.1913955,-1.95329705,-5.739507932,0.920725107
Jurien,63.40632891,-1.983607544,-5.792934649,0.889516373
Jurien,63.62126231,-2.013918038,-5.832313129,0.85830764
Jurien,63.83619572,-2.044228531,-5.871691608,0.827098906
Jurien,64.05112912,-2.074539025,-5.911070088,0.795890172
Jurien,64.26606253,-2.104849519,-5.954753373,0.764681438
Jurien,64.48099593,-2.135160012,-6.018717972,0.733472704
Jurien,64.69592934,-2.165470506,-6.082353622,0.702263971
Jurien,64.91086274,-2.195781,-6.145821817,0.671055237
Jurien,65.12579615,-2.226091493,-6.209290011,0.639846503
Jurien,65.34072955,-2.256401987,-6.260686615,0.608637769
Jurien,65.55566296,-2.28671248,-6.300868178,0.577722403
Jurien,65.77059636,-2.317022974,-6.341049741,0.558703746
Jurien,65.98552977,-2.347333468,-6.381231304,0.53968509
Jurien,66.20046317,-2.377643961,-6.421273504,0.520666433
Jurien,66.41539658,-2.407954455,-6.460998729,0.501647776
Jurien,66.63032998,-2.438264949,-6.500723955,0.479732589
Jurien,66.84526339,-2.468575442,-6.54042543,0.450042783
Jurien,67.06019679,-2.498885936,-6.580022086,0.420352976
Jurien,67.2751302,-2.529196429,-6.632897734,0.396289715
Jurien,67.4900636,-2.559506923,-6.686148032,0.376520599
Jurien,67.70499701,-2.589817417,-6.739398331,0.358900661
Jurien,67.91993041,-2.62012791,-6.79264863,0.341280724
Jurien,68.13486382,-2.650438404,-6.845898929,0.323660786
Jurien,68.34979722,-2.680748898,-6.899149228,0.306040849
Jurien,68.56473063,-2.711059391,-6.952399526,0.288420911
Jurien,68.77966403,-2.741369885,-7.005649825,0.270800974
Jurien,68.99459744,-2.771680379,-7.058900124,0.252959661
Jurien,69.20953084,-2.801990872,-7.103015888,0.230719848
